city,lat,lng,population,density
Norman,35.2335,-97.3471,112576,267
Elgin,42.0383,-88.324,112062,1137
Centennial,39.5926,-104.8673,111331,1446
Lowell,42.6389,-71.3217,111311,3157
Downey,33.9379,-118.1311,111263,3462
Pompano Beach,26.2428,-80.1312,111202,1787
West Palm Beach,26.7469,-80.132,111006,796
Abilene,32.4543,-99.7384,110993,451
Everett,47.9525,-122.1669,110840,1289
Miami Gardens,25.9433,-80.2426,110767,2346
Gresham,45.5021,-122.4413,110456,1817
El Centro,32.7865,-115.5595,110434,1430
Richmond,37.9477,-122.3389,110051,1413
Inglewood,33.9566,-118.3444,109309,4654
Salisbury,38.3756,-75.5865,108982,920
Broken Arrow,36.038,-95.7806,108875,667
San Buenaventura,34.2741,-119.2314,108467,1913
Sandy Springs,33.9366,-84.3703,108180,1109
Hillsboro,45.5273,-122.936,108026,1624
Sioux City,42.4959,-96.3901,107932,545
Jacksonville,34.7289,-77.3941,107890,589
Meridian,43.6116,-116.3977,107787,1186
Lewisville,33.0454,-96.9815,107740,1124
Bend,44.0563,-121.3095,107460,1114
Daly City,37.6862,-122.4685,107197,5418
Highlands Ranch,39.5419,-104.9708,107017,1702
Jurupa Valley,34.001,-117.4706,106646,958
Temple,31.1068,-97.3891,106332,415
Logan,41.7399,-111.8422,106319,1109
Kailua,21.392,-157.7396,106260,1882
West Covina,34.0555,-117.9113,105808,2547
Davie,26.0789,-80.287,105594,1168
Columbia,39.2004,-76.859,105412,1274
League City,29.4874,-95.1087,105410,793
Mandeville,30.3751,-90.0904,105097,681
San Tan Valley,33.1786,-111.5629,104936,534
Turlock,37.5053,-120.8588,104719,1660
Norwalk,33.9069,-118.0829,104524,4157
Allen,33.1088,-96.6735,104040,1521
San Germán,18.0827,-67.046,103747,1270
San Mateo,37.5522,-122.3121,103619,3297
Rialto,34.1175,-117.3892,103549,1659
Burbank,34.1879,-118.3235,103411,2305
El Cajon,32.8017,-116.9604,103249,2747
Eau Claire,44.8197,-91.4948,103197,807
Sparks,39.5736,-119.7161,102895,1090
Charlottesville,38.0375,-78.4855,102164,1779
Renton,47.4784,-122.1918,101871,1675
Idaho Falls,43.4871,-112.0362,101326,1004
Vista,33.1896,-117.2386,100659,2073
Holland,42.7677,-86.0984,100202,771
Longmont,40.1686,-105.1005,100146,1286
Wichita Falls,33.9072,-98.5291,100005,561
Lafayette,39.9946,-105.0998,99475,1170
Vacaville,38.3587,-121.9673,99397,1292
Spokane Valley,47.6626,-117.2346,99275,1016
La Crosse,43.8241,-91.2268,99227,916
Carmel,39.965,-86.146,99130,779
Boca Raton,26.3752,-80.108,98776,1307
Longview,32.5193,-94.7622,98775,568
Kingsport,36.5224,-82.5454,98767,394
South Fulton,33.6273,-84.58,98586,446
Beaverton,45.4779,-122.8168,98567,1941
Rio Rancho,35.2873,-106.6982,97976,365
Prescott Valley,34.598,-112.3185,97901,435
Orem,40.2981,-111.6994,97883,2030
Edinburg,26.3196,-98.1597,97734,843
San Angelo,31.4424,-100.4504,97481,650
Portsmouth,43.058,-70.7826,97455,528
Tracy,37.7269,-121.4523,97372,1364
Federal Way,47.3091,-122.3358,96812,1676
Lawrence,38.9597,-95.2642,96694,1100
Manteca,37.7927,-121.2264,96553,1463
San Marcos,33.135,-117.1743,96219,1525
Sandy,40.5709,-111.8506,96137,1536
Riverview,27.8227,-82.3023,95849,801
Compton,33.893,-118.2274,95804,3688
Brockton,42.0821,-71.0242,95740,1732
Santa Fe,35.6619,-105.9819,95498,624
Hanford,36.3274,-119.6549,95459,1272
Middletown,39.5033,-84.3659,95296,720
Hesperia,34.3975,-117.3147,95163,505
Portsmouth,36.8468,-76.354,94961,1101
South Gate,33.9447,-118.1926,94905,5063
Roswell,34.0391,-84.3513,94884,899
Sunrise,26.1547,-80.2997,94657,2256
Bowling Green,36.9716,-86.4378,94555,684
Lee's Summit,38.9171,-94.3816,94520,598
Slidell,30.2887,-89.7828,94498,713
Blacksburg,37.23,-80.4279,94398,868
Quincy,42.2506,-71.0187,94389,2199
Plantation,26.1259,-80.2617,94366,1675
Dearborn,42.3127,-83.213,94328,1502
Lynn,42.4781,-70.9664,94201,3386
Livonia,42.3972,-83.3733,93970,1016
Missoula,46.8751,-114.0214,93723,839
Arden-Arcade,38.6017,-121.3845,93719,2275
Fishers,39.9588,-85.9659,93488,1013
Mayagüez,18.2003,-67.1397,93426,1101
Terre Haute,39.466,-87.3751,93247,684
Edmond,35.6689,-97.416,93101,424
Menifee,33.6909,-117.1849,92968,772
Vineland,39.4653,-74.9981,92364,335
Santa Monica,34.0235,-118.481,91600,4205
Alafaya,28.528,-81.1868,91468,1152
Suffolk,36.6953,-76.6398,91383,88
Carson,33.8374,-118.2559,91354,1883
Kirkland,47.697,-122.2057,91146,1976
Westminster,33.7523,-117.9938,90857,3494
San Leandro,37.7074,-122.1599,90489,2622
Lawton,34.6175,-98.4202,90487,443
Bismarck,46.8143,-100.7694,90420,817
Dover,43.1887,-70.8845,89874,461
Town 'n' Country,28.0106,-82.5763,89791,1569
Fall River,41.7136,-71.1015,89618,1044
Rapid City,44.0716,-103.2204,89606,540
Germantown,39.1755,-77.2643,89529,2029
Miami Beach,25.8171,-80.1396,89439,4489
Mount Pleasant,32.8537,-79.8203,89410,697
Albany,31.5776,-84.1762,89323,509
Chino,33.9836,-117.6654,89170,1162
Norwalk,41.1144,-73.4215,88755,1497
Florence,34.178,-79.7898,88709,643
State College,40.7909,-77.8567,88526,3567
Livermore,37.6868,-121.7607,88412,1339
Conroe,30.3238,-95.4824,88369,473
Newton,42.3316,-71.2085,88322,1912
O'Fallon,38.785,-90.7175,88132,1142
Dalton,34.769,-84.972,87944,612
Citrus Heights,38.6948,-121.288,87665,2380
Jackson,42.2431,-84.4038,87230,1148
Waukegan,42.3698,-87.8716,87157,1389
Muncie,40.1989,-85.395,87037,954
Newport Beach,33.6151,-117.8668,86694,1406
Decatur,39.8557,-88.9342,86604,646
Homosassa Springs,28.8119,-82.5392,86578,223
Port Huron,42.9821,-82.4388,86440,1378
Anderson,40.0891,-85.6892,85700,505
Bryan,30.665,-96.3807,85645,610
Hawthorne,33.9147,-118.3476,85410,5417
Hoover,33.3763,-86.8068,85386,685
Napa,38.2975,-122.301,85372,1675
Bloomington,44.8306,-93.3151,85226,948
Clifton,40.863,-74.1575,85201,2917
Springfield,39.93,-83.7959,85121,876
Hattiesburg,31.3074,-89.317,85086,332
Whittier,33.9678,-118.0188,84821,2235
Largo,27.9088,-82.7712,84666,1763
Lake Forest,33.6605,-117.6714,84666,1955
New Braunfels,29.6994,-98.1148,84622,723
Johns Creek,34.0333,-84.2027,84551,1059
Redwood City,37.5025,-122.2253,84518,1687
Alhambra,34.084,-118.1355,84509,4275
Troy,42.5817,-83.1457,84051,970
Mission,26.2039,-98.3256,83796,890
Alton,38.9037,-90.152,83705,652
Goodyear,33.2614,-112.3622,83519,168
Fort Myers,26.6194,-81.8302,83505,809
Williamsburg,37.2693,-76.7076,83021,649
Chino Hills,33.9508,-117.7254,82800,716
Melbourne,28.1086,-80.6627,82281,719
Buena Park,33.8572,-118.0046,82228,3015
Kankakee,41.102,-87.8643,82095,662
Atascocita,29.9777,-95.1953,81860,1323
Loveland,40.4166,-105.0623,81774,917
Westland,42.3192,-83.3805,81713,1544
Cicero,41.8445,-87.7593,81471,5363
Pine Hills,28.5818,-81.4692,81415,2577
